faculty_name,url
Faculty of Arts,https://academic-calendar.wlu.ca/section.php?cal=1&s=1151&y=92
Faculty of Education,https://academic-calendar.wlu.ca/section.php?cal=1&s=1161&y=92
Faculty of Human and Social Sciences,https://academic-calendar.wlu.ca/section.php?cal=1&s=1165&y=92
Faculty of Liberal Arts,https://academic-calendar.wlu.ca/section.php?cal=1&s=1153&y=92
Faculty of Music,https://academic-calendar.wlu.ca/section.php?cal=1&s=1155&y=92
Faculty of Science,https://academic-calendar.wlu.ca/section.php?cal=1&s=1152&y=92
Lazaridis School of Business and Economics,https://academic-calendar.wlu.ca/section.php?cal=1&s=1154&y=92
Lyle S Hallman Faculty of Social Work,https://academic-calendar.wlu.ca/section.php?cal=1&s=1166&y=92
Martin Luther University College,https://academic-calendar.wlu.ca/section.php?cal=1&s=1164&y=92
