program_name,program_url
Digital Humanities Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3098&p=7046&s=1151&y=92
Digital Humanities Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3084&p=7027&s=1151&y=92
Diploma in Business Administration,https://academic-calendar.wlu.ca/program.php?cal=1&d=3155&p=7240&s=1154&y=92
Diploma in Chamber Music,https://academic-calendar.wlu.ca/program.php?cal=1&d=3164&p=7263&s=1155&y=92
Diploma in Criminology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3183&p=7291&s=1165&y=92
Diploma in Opera,https://academic-calendar.wlu.ca/program.php?cal=1&d=3167&p=7266&s=1155&y=92
Economics Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3156&p=7255&s=1154&y=92
Education Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3178&p=7272&s=1161&y=92
English Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3079&p=6998&s=1151&y=92
English Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3142&p=7205&s=1153&y=92
Environmental Studies Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3111&p=7068&s=1152&y=92
Film Production Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3080&p=7011&s=1151&y=92
Film Production Specialization,https://academic-calendar.wlu.ca/program.php?cal=1&d=3080&p=7012&s=1151&y=92
Film Studies Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3080&p=7009&s=1151&y=92
Film Theory Specialization,https://academic-calendar.wlu.ca/program.php?cal=1&d=3080&p=7013&s=1151&y=92
Financial Mathematics Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3120&p=7155&s=1152&y=92
Foundations in Cybercrime Specialization,https://academic-calendar.wlu.ca/program.php?cal=1&d=3183&p=7357&s=1165&y=92
French Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3104&p=7057&s=1151&y=92
French Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3199&p=7366&s=1153&y=92
French Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3104&p=7058&s=1151&y=92
Game Design and Development Minor,https://academic-calendar.wlu.ca/program.php?cal=1&d=3190&p=7310&s=1165&y=92
Game Design and Development Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3190&p=7311&s=1165&y=92
General BA Ancient Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3101&p=7336&s=1151&y=92
General BA Anthropology,https://academic-calendar.wlu.ca/program.php?cal=1&d=3074&p=7324&s=1151&y=92
General BA Archaeology and Heritage Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3076&p=7325&s=1151&y=92
General BA Cultural Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3078&p=7326&s=1151&y=92
General BA English,https://academic-calendar.wlu.ca/program.php?cal=1&d=3079&p=7328&s=1151&y=92
